Ji freq int absF
4.00000000 2572.64490000 0.01020312 16217.34010000
3.00000000 2693.97320000 0.01024429 16096.01180000
2.00000000 2814.55000000 0.02468423 15975.43500000
6.00000000 2949.75880000 0.02001669 15840.22620000
5.00000000 2962.19340000 0.04521913 15827.79160000
4.00000000 2972.61410000 0.30236031 15817.37090000
3.00000000 2980.98930000 0.36547344 15808.99570000
2.00000000 2987.29340000 1.22875396 15802.69160000
1.00000000 2991.50700000 0.65757070 15798.47800000
0.00000000 2993.61710000 0.57017067 15796.36790000
0.00000000 3166.36050000 0.04554540 15623.62450000
1.00000000 3278.52310000 0.02832436 15511.46190000
2.00000000 3387.26260000 0.04202881 15402.72240000
3.00000000 3492.09360000 0.01066248 15297.89140000
